turn,condition,treatment,treatment_label,transfer,return,default_transfer,default_return,earnings_transferrer,earnings_returner,total_earnings_transferrer,total_earnings_returner,link_condition,info_condition,total_time_transferrer,total_time_returner,workerId_transferrer,workerId_returner,machiv_transferrer,machiv_returner,age_transferrer,age_returner,pretest_tries_transferrer,pretest_tries_returner,prev_exp_transferrer,prev_exp_returner,clarity_transferrer,clarity_returner,tech_difficulties_transferrer,tech_difficulties_returner,educ_transferrer,educ_returner,gender_transferrer,gender_returner,lagged_transfer,lagged_avg_return,relationship,crelationship,conditionid
8,0,21,E,2,1,False,False,10,5,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,10,5,443,443,21
8,0,21,E,8,0,False,True,10,24,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,10,5,444,444,21
9,0,21,E,1,3,False,False,18,0,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,2,0,447,447,21
9,0,21,E,1,0,False,False,18,3,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,2,0,442,442,21
10,0,21,E,0,0,True,False,20,0,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,1,1,446,446,21
10,0,21,E,0,0,True,False,20,0,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,1,1,445,445,21
11,0,21,E,5,1,False,False,10,14,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,0,0,443,443,21
11,0,21,E,5,5,False,False,10,10,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,0,0,444,444,21
12,0,21,E,10,15,False,False,0,15,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,5,3,447,447,21
12,0,21,E,10,15,False,False,0,15,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,5,3,442,442,21
13,0,21,E,8,2,False,False,2,22,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,10,15,446,446,21
13,0,21,E,10,15,False,False,2,15,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,10,15,445,445,21
14,0,21,E,5,2,False,False,10,13,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,10,8,443,443,21
14,0,21,E,5,10,False,False,10,5,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,10,8,444,444,21
15,0,21,E,4,4,False,False,14,8,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,5,6,447,447,21
15,0,21,E,2,2,False,False,14,4,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,5,6,442,442,21
16,0,21,E,4,1,False,False,6,11,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,4,3,446,446,21
16,0,21,E,10,15,False,False,6,15,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,4,3,445,445,21
17,0,21,E,5,1,False,False,10,14,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,10,8,443,443,21
17,0,21,E,5,10,False,False,10,5,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,10,8,444,444,21
18,0,21,E,3,2,False,False,15,7,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,5,5,447,447,21
18,0,21,E,2,2,False,False,15,4,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,5,5,442,442,21
19,0,21,E,10,2,False,False,0,28,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,3,2,446,446,21
19,0,21,E,10,20,False,False,0,10,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,3,2,445,445,21
20,0,21,E,5,2,False,False,10,13,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,10,11,443,443,21
20,0,21,E,5,5,False,False,10,10,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,10,11,444,444,21
21,0,21,E,3,3,False,False,14,6,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,5,3,447,447,21
21,0,21,E,3,4,False,False,14,5,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,5,3,442,442,21
22,0,21,E,5,1,False,False,5,14,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,3,3,446,446,21
22,0,21,E,10,15,False,False,5,15,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,3,3,445,445,21
23,0,21,E,5,2,False,False,5,13,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,10,8,443,443,21
23,0,21,E,10,10,False,False,5,20,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,10,8,444,444,21
24,0,21,E,4,1,False,False,14,11,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,5,6,447,447,21
24,0,21,E,2,3,False,False,14,3,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,5,6,442,442,21
25,0,21,E,2,1,False,False,8,5,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,4,2,446,446,21
25,0,21,E,10,20,False,False,8,10,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,4,2,445,445,21
26,0,21,E,1,1,False,False,10,2,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,10,10,443,443,21
26,0,21,E,9,20,False,False,10,7,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,10,10,444,444,21
27,0,21,E,3,1,False,False,14,8,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,1,10,447,447,21
27,0,21,E,3,3,False,False,14,6,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,1,10,442,442,21
28,0,21,E,5,1,False,False,5,14,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,3,2,446,446,21
28,0,21,E,10,15,False,False,5,15,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,3,2,445,445,21
29,0,21,E,5,0,False,True,5,15,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,10,8,443,443,21
29,0,21,E,10,15,False,False,5,15,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,10,8,444,444,21
0,1,21,E,10,0,False,True,0,30,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,,,445,488,22
0,1,21,E,10,2,False,False,0,28,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,,,446,489,22
1,1,21,E,0,0,True,False,20,0,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,10,1,444,487,22
1,1,21,E,0,0,True,False,20,0,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,10,1,443,486,22
2,1,21,E,1,1,False,False,18,2,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,0,0,447,490,22
2,1,21,E,1,0,False,True,18,3,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,0,0,442,485,22
3,1,21,E,10,0,False,True,5,30,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,1,0,445,488,22
3,1,21,E,5,1,False,False,5,14,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,1,0,446,489,22
4,1,21,E,0,0,True,False,20,0,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,10,0,444,487,22
4,1,21,E,0,0,True,False,20,0,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,10,0,443,486,22
5,1,21,E,2,0,False,True,16,6,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,0,0,447,490,22
5,1,21,E,2,0,False,True,16,6,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,0,0,442,485,22
6,1,21,E,1,0,False,True,18,3,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,2,0,445,488,22
6,1,21,E,1,0,False,True,18,6,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,2,0,446,489,22
7,1,21,E,0,0,True,False,20,0,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,1,0,444,487,22
7,1,21,E,0,0,True,False,20,0,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,1,0,443,486,22
8,1,21,E,1,2,False,False,18,1,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,0,0,447,490,22
8,1,21,E,1,0,False,True,18,3,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,0,0,442,485,22
9,1,21,E,2,0,False,True,16,6,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,1,1,445,488,22
9,1,21,E,2,1,False,False,16,5,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,1,1,446,489,22
10,1,21,E,0,0,True,False,20,0,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,2,0,444,487,22
10,1,21,E,0,0,True,False,20,0,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,2,0,443,486,22
11,1,21,E,1,1,False,False,18,2,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,0,0,447,490,22
11,1,21,E,1,0,False,True,18,6,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,0,0,442,485,22
12,1,21,E,0,0,False,True,15,0,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,1,0,445,488,22
12,1,21,E,5,1,False,False,15,14,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,1,0,446,489,22
13,1,21,E,5,7,False,False,10,8,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,0,0,444,487,22
13,1,21,E,5,1,False,False,10,14,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,0,0,443,486,22
14,1,21,E,1,0,False,False,18,3,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,5,4,447,490,22
14,1,21,E,1,1,False,False,18,2,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,5,4,442,485,22
15,1,21,E,10,15,False,False,10,15,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,1,0,445,488,22
15,1,21,E,0,0,False,False,10,0,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,1,0,446,489,22
16,1,21,E,5,0,False,True,10,15,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,10,7,444,487,22
16,1,21,E,5,0,False,True,10,30,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,10,7,443,486,22
17,1,21,E,2,1,False,False,16,5,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,5,0,447,490,22
17,1,21,E,2,4,False,False,16,2,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,5,0,442,485,22
18,1,21,E,5,5,False,False,14,10,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,2,2,445,488,22
18,1,21,E,1,0,False,False,14,3,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,2,2,446,489,22
19,1,21,E,5,5,False,False,10,10,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,5,2,444,487,22
19,1,21,E,5,1,False,False,10,14,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,5,2,443,486,22
20,1,21,E,2,1,False,False,17,5,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,5,3,447,490,22
20,1,21,E,1,2,False,False,17,1,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,5,3,442,485,22
21,1,21,E,5,5,False,False,14,10,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,2,1,445,488,22
21,1,21,E,1,0,False,False,14,3,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,2,1,446,489,22
22,1,21,E,5,5,False,False,10,10,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,5,2,444,487,22
22,1,21,E,5,2,False,False,10,13,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,5,2,443,486,22
23,1,21,E,1,0,False,True,17,3,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,5,3,447,490,22
23,1,21,E,2,6,False,True,17,3,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,5,3,442,485,22
24,1,21,E,5,5,False,False,14,10,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,1,3,445,488,22
24,1,21,E,1,0,False,False,14,3,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,1,3,446,489,22
25,1,21,E,5,0,False,True,10,0,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,5,2,444,487,22
25,1,21,E,5,0,False,True,10,29,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,5,2,443,486,22
26,1,21,E,1,1,False,False,18,2,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,5,0,447,490,22
26,1,21,E,1,1,False,False,18,2,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,5,0,442,485,22
27,1,21,E,5,10,False,False,14,5,574,701,control,local,3232.0,3926.0,A2CE2OFG78G12Z,AY435K1O3CTWW,89,92,,,1,3,None,2,y,y,6,3,14,0,m,f,1,1,445,488,22
27,1,21,E,1,0,False,False,14,3,574,866,control,local,3232.0,4011.0,A2CE2OFG78G12Z,A2VLOL5DA4M2T1,89,109,,,1,2,None,20+,y,y,6,1,14,16,m,m,1,1,446,489,22
28,1,21,E,5,5,False,False,10,10,701,574,control,local,3926.0,3232.0,AY435K1O3CTWW,A2CE2OFG78G12Z,92,89,,,3,1,2,None,y,y,3,6,0,14,f,m,5,5,444,487,22
28,1,21,E,5,1,False,False,10,14,701,866,control,local,3926.0,4011.0,AY435K1O3CTWW,A2VLOL5DA4M2T1,92,109,,,3,2,2,20+,y,y,3,1,0,16,f,m,5,5,443,486,22
29,1,21,E,1,1,False,False,18,2,866,574,control,local,4011.0,3232.0,A2VLOL5DA4M2T1,A2CE2OFG78G12Z,109,89,,,2,1,20+,None,y,y,1,6,16,14,m,m,5,3,447,490,22
29,1,21,E,1,2,False,False,18,1,866,701,control,local,4011.0,3926.0,A2VLOL5DA4M2T1,AY435K1O3CTWW,109,92,,,2,3,20+,2,y,y,1,3,16,0,m,f,5,3,442,485,22
0,0,33,C,9,10,False,False,2,17,1085,903,control,local,3979.0,4415.0,A1NGAESCW92W4O,A3RYH6OUH7BJ4Z,111,97,,,1,1,None,20+,y,n,2,5,13,16,m,m,,,1093,1160,34
0,0,33,C,9,0,False,True,2,37,1085,1107,control,local,3979.0,,A1NGAESCW92W4O,A1NF6PELRKACS9,111,,,,1,1,None,,y,,2,,13,,m,,,,1094,1161,34
1,0,33,C,0,0,True,True,20,0,903,1085,control,local,4415.0,3979.0,A3RYH6OUH7BJ4Z,A1NGAESCW92W4O,97,111,,,1,1,20+,None,n,y,5,2,16,13,m,m,9,5,1092,1159,34
1,0,33,C,0,0,True,False,20,0,903,1107,control,local,4415.0,,A3RYH6OUH7BJ4Z,A1NF6PELRKACS9,97,,,,1,1,20+,,n,,5,,16,,m,,9,5,1091,1158,34
2,0,33,C,10,20,False,False,0,10,1107,1085,control,local,,3979.0,A1NF6PELRKACS9,A1NGAESCW92W4O,,111,,,1,1,,None,,y,,2,,13,,m,0,0,1095,1162,34
2,0,33,C,10,15,False,False,0,15,1107,903,control,local,,4415.0,A1NF6PELRKACS9,A3RYH6OUH7BJ4Z,,97,,,1,1,,20+,,n,,5,,16,,m,0,0,1090,1157,34
